"","Country","Year","GC_Top Marginal Rates"
"693","NZL",1974,0.4
"694","NZL",1975,0.4
"695","NZL",1976,0.4
"696","NZL",1977,0.4
"697","NZL",1978,0.4
"698","NZL",1979,0.4
"699","NZL",1980,0.4
"700","NZL",1981,0.4
"701","NZL",1982,0.4
"702","NZL",1983,0.4
"703","NZL",1984,0.4
"704","NZL",1985,0.4
"705","NZL",1986,0.4
"706","NZL",1987,0.4
"707","NZL",1988,0.4
"708","NZL",1989,0.4
"709","NZL",1990,0.4
"710","NZL",1991,0.4
"711","NZL",1992,0.4
"712","NZL",1993,0
"713","NZL",1994,0
"714","NZL",1995,0
"715","NZL",1996,0
"716","NZL",1997,0
"717","NZL",1998,0
"718","NZL",1999,0
"719","NZL",2000,0
"720","NZL",2001,0
"721","NZL",2002,0
"722","NZL",2003,0
"723","NZL",2004,0
"724","NZL",2005,0
"725","NZL",2006,0
"726","NZL",2007,0
"727","NZL",2008,0
"728","NZL",2009,0
"729","NZL",2010,0
"730","NZL",2011,0
"731","NZL",2012,0
"732","NZL",2013,0
"733","NZL",2014,0
"734","NZL",2015,0
"735","NZL",2016,0
"736","NZL",2017,0
"737","NZL",2018,0
"738","NZL",2019,0
"739","NZL",2020,0
"740","NZL",2021,0
"741","NLD",1964,0.17
"742","NLD",1965,0.17
"743","NLD",1966,0.17
"744","NLD",1967,0.17
"745","NLD",1968,0.17
"746","NLD",1969,0.17
"747","NLD",1970,0.17
"748","NLD",1971,0.17
"749","NLD",1972,0.17
"750","NLD",1973,0.17
"751","NLD",1974,0.17
"752","NLD",1975,0.17
"753","NLD",1976,0.17
"754","NLD",1977,0.17
"755","NLD",1978,0.17
"756","NLD",1979,0.17
"757","NLD",1980,0.17
"758","NLD",1981,0.27
"759","NLD",1982,0.27
"760","NLD",1983,0.27
"761","NLD",1984,0.27
"762","NLD",1985,0.27
"763","NLD",1986,0.27
"764","NLD",1987,0.27
"765","NLD",1988,0.27
"766","NLD",1989,0.27
"767","NLD",1990,0.27
"768","NLD",1991,0.27
"769","NLD",1992,0.27
"770","NLD",1993,0.27
"771","NLD",1994,0.27
"772","NLD",1995,0.27
"773","NLD",1996,0.27
"774","NLD",1997,0.27
"775","NLD",1998,0.27
"776","NLD",1999,0.27
"777","NLD",2000,0.27
"778","NLD",2001,0.27
"779","NLD",2002,0.27
"780","NLD",2003,0.27
"781","NLD",2004,0.27
"782","NLD",2005,0.27
"783","NLD",2006,0.27
"784","NLD",2007,0.27
"785","NLD",2008,0.27
"786","NLD",2009,0.27
"787","ESP",1988,0.34
"788","ESP",1989,0.34
"789","ESP",1990,0.34
"790","ESP",1991,0.34
"791","ESP",1992,0.34
"792","ESP",1993,0.34
"793","ESP",1994,0.34
"794","ESP",1996,0.34
"795","ESP",2001,0.34
"796","ESP",2002,0.34
"797","ESP",2003,0.34
"798","ESP",2004,0.34
"799","ESP",2005,0.34
"800","ESP",2006,0.34
"801","ESP",2007,0.34
"802","ESP",2008,0.34
"803","ESP",2009,0.34
"804","ESP",2010,0.34
"805","ESP",2011,0.34
"806","ESP",2012,0.34
"807","ESP",2013,0.34
"808","ESP",2014,0.34
"809","ESP",2015,0.34
"810","ESP",2016,0.34
"811","ESP",2017,0.34
"812","ESP",2018,0.34
"813","ESP",2019,0.34
"814","ESP",2020,0.34
"815","ESP",2021,0.34
"816","BRN",1964,0.2
"817","BRN",1965,0.2
"818","BRN",1966,0.2
"819","BRN",1967,0.2
"820","BRN",1968,0.2
"821","BRN",1969,0.2
"822","BRN",1970,0.2
"823","BRN",1971,0.2
"824","BRN",1972,0.2
"825","BRN",1973,0.2
"826","BRN",1974,0.2
"827","BRN",1975,0.2
"828","BRN",1976,0.2
"829","BRN",1977,0.2
"830","BRN",1978,0.2
"831","BRN",1979,0.2
"832","BRN",1980,0.2
"833","BRN",1981,0.2
"834","BRN",1982,0.2
"835","BRN",1983,0.2
"836","BRN",1984,0.2
"837","BRN",1985,0.2
"838","BRN",1986,0.2
"839","BRN",1987,0.2
"840","BRN",1988,0.2
"841","BRN",1989,0.2
"842","BRN",1990,0.2
"843","BRN",1991,0.2
"844","BRN",1992,0.2
"845","BRN",1993,0.2
"846","BRN",1994,0.2
"847","BRN",1995,0.2
"848","BRN",1996,0.2
"849","BRN",1997,0.2
"850","BRN",1998,0.2
"851","BRN",1999,0.2
"852","BRN",2000,0.2
"853","BRN",2001,0.2
"854","BRN",2002,0.2
"855","BRN",2003,0.2
"856","BRN",2004,0.2
"857","BRN",2005,0.2
"858","BRN",2006,0.2
"859","BRN",2007,0.2
"860","BRN",2008,0.2
"861","BRN",2009,0.2
"862","BRN",2010,0.2
"863","BRN",2011,0.2
"864","BRN",2012,0.2
"865","BRN",2013,0
"866","BRN",2014,0
"867","BRN",2015,0
"868","BRN",2016,0
"869","BRN",2017,0
"870","BRN",2018,0
"871","BRN",2019,0
"872","BRN",2020,0
"873","BRN",2021,0
"874","FIN",1964,0.11
"875","FIN",1965,0.11
"876","FIN",1966,0.11
"877","FIN",1967,0.11
"878","FIN",1968,0.11
"879","FIN",1969,0.11
"880","FIN",1970,0.11
"881","FIN",1971,0.11
"882","FIN",1972,0.11
"883","FIN",1973,0.11
"884","FIN",1974,0.11
