"","Country","Year","Unemployment_rate","GDP_constant_billions","GDP_current_billions"
"285","AGO",1988,NA,28.6497163625461,8.77511626923077
"286","AGO",1989,NA,28.6616407933085,10.2079225170569
"287","AGO",1990,NA,27.6727859011984,11.2362758428094
"288","AGO",1991,NA,27.9471226383648,10.4011887072808
"289","AGO",1992,NA,26.3154911619046,8.30782684739834
"290","AGO",1993,NA,20.0041370646172,6.08468893580032
"291","AGO",1994,NA,20.272065162244,4.43832101739068
"292","AGO",1995,NA,23.3128749424318,5.53874925994714
"293","AGO",1996,NA,26.4704569251794,6.53543471600224
"294","AGO",1997,NA,28.3959913789479,7.67541260066513
"295","AGO",1998,NA,29.7280889207293,6.50638141653236
"296","AGO",1999,NA,30.3766041240132,6.15292294224539
"297","AGO",2000,NA,31.3044952351451,9.12959481557661
"298","AGO",2001,NA,32.6211618527594,8.93607925142093
"299","AGO",2002,NA,37.0790683017327,15.2855924862532
"300","AGO",2003,NA,38.1877324439545,17.8127046270282
"301","AGO",2004,23.643,42.3692891488383,23.5520578204599
"302","AGO",2005,NA,48.7373933039054,36.9709010237893
"303","AGO",2006,NA,54.3665622294727,52.381025102321
"304","AGO",2007,NA,61.9833176025006,65.2664157069741
"305","AGO",2008,NA,68.906854175114,88.538664884265
"306","AGO",2009,3.782,69.4994531225034,70.3071964741272
"307","AGO",2010,9.43,72.5563003457599,83.7994737597201
"308","AGO",2011,16.77,75.0754936559735,111.78974767059
"309","AGO",2012,NA,81.4885227117833,128.052915202989
"310","AGO",2013,NA,85.5259636769345,132.339108708408
"311","AGO",2014,9.579,89.6505039661696,135.966802156542
"312","AGO",2015,NA,90.496420626179,90.496420626179
"313","AGO",2016,NA,88.1615123222007,52.7616172259253
"314","AGO",2017,NA,88.0317828107052,73.690155046555
"315","AGO",2018,NA,86.8729661476687,79.4506882320011
"316","AGO",2019,16.497,86.2628807989347,70.8979627126213
"317","AGO",2020,NA,81.3991943582922,48.501561230001
"318","AGO",2021,15.799,82.3753420614136,66.505129989243
"319","AGO",2022,NA,84.8840032076784,106.782770714619
"320","AGO",NA,NA,NA,NA
"321","ALB",1960,NA,NA,NA
"322","ALB",1961,NA,NA,NA
"323","ALB",1962,NA,NA,NA
"324","ALB",1963,NA,NA,NA
"325","ALB",1964,NA,NA,NA
"326","ALB",1965,NA,NA,NA
"327","ALB",1966,NA,NA,NA
"328","ALB",1967,NA,NA,NA
"329","ALB",1968,NA,NA,NA
"330","ALB",1969,NA,NA,NA
"331","ALB",1970,NA,NA,NA
"332","ALB",1971,NA,NA,NA
