"","Country","Country_Name","Year","TaxRev_Income_IPC_1000","TaxRev_Social_SSC_2000","TaxRev_Payroll_PW_3000","TaxRev_Property_4000","TaxRev_ImmovProp_4100","TaxRev_NetWealth_4200","TaxRev_EIG_4300","TaxRev_GoodsServices_5000","TaxRev_Others_6000","TaxRev_TotalofGDP","Wealth_Gini","Wealth_Share_bottom50","Wealth_Share_top10","Wealth_Share_top1","v2peedueq","v2x_corr","v2x_libdem","Unemployment_rate","GDP_constant_billions","GDP_current_billions","welfare_regime"
"86","CAN","Canada",2012,47.458,15.073,2.089,11.883,9.781,0.111,0.035,23.376,0.12,31.177,0.732944927835376,0.0455,0.5785,0.2424,2.203,0.037,0.734,7.392,1469.09320156391,1828.3664815216,"Liberal"
"87","CAN","Canada",2002,45.213,15.216,2.052,10.818,8.878,0.837,0,26.205,0.496,33.081,0.732301011739509,0.0456,0.5771,0.2413,2.203,0.043,0.746,7.665,1220.55231013193,760.649334098005,"Liberal"
"88","CAN","Canada",2003,45.016,15.464,2.086,10.818,8.889,0.731,0,26.269,0.347,32.7,0.732518856829614,0.0455,0.5775,0.2415,2.203,0.043,0.746,7.574,1242.60018562517,895.540646634787,"Liberal"
"89","CAN","Canada",2004,46.194,14.939,2.031,10.795,8.786,0.754,0,25.735,0.305,32.713,0.733916011927079,0.0454,0.5798,0.2451,2.203,0.043,0.751,7.185,1281.02590437369,1026.69023827825,"Liberal"
"90","CAN","Canada",2008,49.391,14.475,2.007,11.516,9.171,0.412,0.034,22.499,0.11,31.235,0.735872236190687,0.045,0.583,0.2492,2.203,0.04,0.757,6.284,1398.6329926998,1552.98969072165,"Liberal"
"91","CAN","Canada",2006,48.439,14.569,1.961,10.589,8.617,0.682,0,24.374,0.068,32.725,0.736540402105192,0.045,0.5841,0.2497,2.203,0.043,0.759,6.484,1357.03030035829,1319.26480959097,"Liberal"
"92","CAN","Canada",2009,47.778,15.029,2.054,12.152,9.813,0.386,0.036,22.871,0.116,32.346,0.731897279306352,0.0456,0.5764,0.2391,2.203,0.04,0.755,8.46,1357.86163478853,1374.62514215729,"Liberal"
"93","CAN","Canada",2020,50.98,14.04,2.243,11.704,9.408,0.06,0.044,20.916,0.117,34.7,0.733779161841994,0.0454,0.5798,0.2432,2.209,0.036,0.741,9.657,1611.12616492014,1655.68473000019,"Liberal"
"94","CAN","Canada",2001,47.806,14.194,2.009,10.749,8.792,0.934,0,24.722,0.52,34.085,0.732848158610551,0.0455,0.5781,0.2427,2.203,0.043,0.754,7.219,1185.01081001945,738.981792355372,"Liberal"
"95","CAN","Canada",2011,47.329,14.733,2.115,11.971,9.8,0.173,0.038,23.734,0.117,30.803,0.734193106205623,0.0453,0.5803,0.245,2.203,0.037,0.741,7.637,1443.74591293341,1793.32663017452,"Liberal"
