"","Year","Wealth_Gini","Country"
"460",2006,0.77778668219247,"BEN"
"461",2007,0.781552751914688,"BEN"
"462",2008,0.785997255833024,"BEN"
"463",2009,0.791974539378828,"BEN"
"464",2010,0.797637143734391,"BEN"
"465",2011,0.805652090371268,"BEN"
"466",2012,0.824931919790743,"BEN"
"467",2013,0.833428738960322,"BEN"
"468",2014,0.844526587544664,"BEN"
"469",2015,0.853550923024329,"BEN"
"470",2016,0.853550923024329,"BEN"
"471",2017,0.853564852369004,"BEN"
"472",2018,0.853959704153738,"BEN"
"473",2019,0.853959704153738,"BEN"
"474",2020,0.853986077936071,"BEN"
"475",2021,0.854083376139016,"BEN"
"476",2022,0.85544027130473,"BEN"
"477",1995,0.742416478701585,"BRN"
"478",1996,0.742416478701585,"BRN"
"479",1997,0.795179640180777,"BRN"
"480",1998,0.794946677593089,"BRN"
"481",1999,0.742495675876853,"BRN"
"482",2000,0.742495675876853,"BRN"
"483",2001,0.742495675876853,"BRN"
"484",2002,0.742495675876853,"BRN"
"485",2003,0.742061785678786,"BRN"
"486",2004,0.74178642091448,"BRN"
"487",2005,0.743689927573797,"BRN"
"488",2006,0.745621059759884,"BRN"
"489",2007,0.746807087344678,"BRN"
"490",2008,0.744214332783343,"BRN"
"491",2009,0.741000062942831,"BRN"
"492",2010,0.739616739141482,"BRN"
"493",2011,0.73780896582754,"BRN"
"494",2012,0.735032595554841,"BRN"
"495",2013,0.733639134536233,"BRN"
"496",2014,0.732154129837099,"BRN"
"497",2015,0.732154129837099,"BRN"
"498",2016,0.732154129837099,"BRN"
"499",2017,0.732179017815739,"BRN"
"500",2018,0.732229252448647,"BRN"
"501",2019,0.732313928419998,"BRN"
"502",2020,0.732313928419998,"BRN"
"503",2021,0.732340498352656,"BRN"
"504",2022,0.732835319471008,"BRN"
"505",1995,0.817292594154111,"BOL"
"506",1996,0.817416263609942,"BOL"
"507",1997,0.81743379790683,"BOL"
"508",1998,0.81743379790683,"BOL"
"509",1999,0.817565430685448,"BOL"
"510",2000,0.817565430685448,"BOL"
"511",2001,0.817583639373908,"BOL"
"512",2002,0.8178644135036,"BOL"
"513",2003,0.828897197916859,"BOL"
"514",2004,0.814356704309375,"BOL"
"515",2005,0.807052775550318,"BOL"
"516",2006,0.827676365827756,"BOL"
"517",2007,0.834555905690451,"BOL"
"518",2008,0.823672516302565,"BOL"
"519",2009,0.802690335655939,"BOL"
"520",2010,0.79338887543031,"BOL"
"521",2011,0.799914886584276,"BOL"
"522",2012,0.775110491796738,"BOL"
"523",2013,0.787607798474426,"BOL"
"524",2014,0.780042123495889,"BOL"
"525",2015,0.777801601607223,"BOL"
"526",2016,0.771709805516565,"BOL"
"527",2017,0.762979461189047,"BOL"
"528",2018,0.75755867365416,"BOL"
"529",2019,0.756795873915877,"BOL"
"530",2020,0.756904674749791,"BOL"
"531",2021,0.756949604859443,"BOL"
"532",2022,0.757585232083699,"BOL"
"533",1995,0.853907802010497,"BRA"
"534",1996,0.854333776540557,"BRA"
"535",1997,0.852715935848749,"BRA"
"536",1998,0.853182495270403,"BRA"
"537",1999,0.852857349760228,"BRA"
"538",2000,0.854094438936727,"BRA"
"539",2001,0.852908983460225,"BRA"
"540",2002,0.841905020728177,"BRA"
"541",2003,0.855977200744064,"BRA"
"542",2004,0.875773321081624,"BRA"
"543",2005,0.887471665329599,"BRA"
"544",2006,0.867083089886478,"BRA"
"545",2007,0.856441966629177,"BRA"
"546",2008,0.870867784823133,"BRA"
"547",2009,0.893823374925489,"BRA"
"548",2010,0.883305156383415,"BRA"
"549",2011,0.890086428866425,"BRA"
"550",2012,0.892778998181655,"BRA"
"551",2013,0.864071849156687,"BRA"
"552",2014,0.881342651563443,"BRA"
"553",2015,0.870708803744037,"BRA"
"554",2016,0.8595382128849,"BRA"
"555",2017,0.878906074598149,"BRA"
"556",2018,0.900206386664422,"BRA"
"557",2019,0.900284014071019,"BRA"
"558",2020,0.89901893693758,"BRA"
"559",2021,0.901363700538525,"BRA"
"560",2022,0.903007751751375,"BRA"
"561",1995,0.817913995162201,"BHS"
"562",1996,0.818099421167432,"BHS"
"563",1997,0.818149649795743,"BHS"
"564",1998,0.818237206644284,"BHS"
"565",1999,0.81844207942035,"BHS"
"566",2000,0.818460111554629,"BHS"
"567",2001,0.818478933469891,"BHS"
"568",2002,0.818514863012268,"BHS"
"569",2003,0.828931360964475,"BHS"
"570",2004,0.81405413270943,"BHS"
"571",2005,0.807052481178602,"BHS"
"572",2006,0.828194637357939,"BHS"
"573",2007,0.834578339138005,"BHS"
"574",2008,0.823690035773069,"BHS"
"575",2009,0.803075866386109,"BHS"
"576",2010,0.793411218809723,"BHS"
"577",2011,0.80004777304265,"BHS"
"578",2012,0.775160965870356,"BHS"
"579",2013,0.787174801519598,"BHS"
"580",2014,0.780086061123768,"BHS"
"581",2015,0.777823291305026,"BHS"
"582",2016,0.77176147814518,"BHS"
"583",2017,0.763273152269534,"BHS"
"584",2018,0.75755867365416,"BHS"
"585",2019,0.75757996456133,"BHS"
